,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Windspeed,Country,Date
368,ust-kuyga,70.0167,135.6,-8.63,100,11,5.46,RU,1650024406
369,redding,40.5865,-122.3917,47.43,89,100,3.44,US,1650024366
370,ribeira grande,38.5167,-28.7,63.0,77,40,12.66,PT,1650024406
371,ugra,54.7777,34.3267,50.47,68,99,6.29,RU,1650024407
372,tingo maria,-9.2895,-76.0088,67.86,96,76,1.34,PE,1650024407
373,owando,-0.4819,15.8999,83.41,62,100,3.22,CG,1650024408
374,coquimbo,-29.9533,-71.3436,56.75,82,54,1.74,CL,1650024408
375,nortelandia,-14.4547,-56.8028,72.21,96,90,5.48,BR,1650024409
376,kendari,-3.945,122.4989,77.54,90,44,2.33,ID,1650024410
377,mayo,38.8876,-76.5119,57.13,64,0,4.61,US,1650024410
378,tahta,26.7693,31.5021,94.15,5,0,12.59,EG,1650024410
379,vangaindrano,-23.35,47.6,78.49,87,67,9.75,MG,1650024410
380,bentiu,9.2333,29.8333,87.58,46,100,8.97,SS,1650024411
381,bafq,31.6128,55.4107,85.71,17,91,12.3,IR,1650024324
382,beipiao,41.7919,120.7792,52.45,17,0,4.81,CN,1650024365
383,verkhnyaya inta,65.9811,60.3094,29.37,80,100,10.51,RU,1650024411
384,cocobeach,1.0002,9.5823,83.66,70,98,7.31,GA,1650024412
385,kruisfontein,-34.0033,24.7314,61.88,61,91,15.99,ZA,1650024229
386,bartlesville,36.7473,-95.9808,54.1,63,0,3.0,US,1650024412
387,katsuura,35.1333,140.3,51.82,92,100,26.82,JP,1650024413
388,ingham,42.6,-84.3833,44.02,44,0,12.66,US,1650024413
389,port blair,11.6667,92.75,86.04,70,20,3.44,IN,1650024413
390,khasan,42.4308,130.6434,42.01,70,20,6.53,RU,1650024413
391,gornopravdinsk,60.05,69.9,50.7,100,100,5.99,RU,1650024414
392,maragogi,-9.0122,-35.2225,82.69,70,80,7.18,BR,1650024414
393,mitu,1.1983,-70.1733,70.86,97,100,2.04,CO,1650024414
394,marinette,45.1,-87.6307,32.45,74,100,9.22,US,1650024414
395,grand falls,47.0461,-67.7418,39.61,99,100,6.15,CA,1650024415
396,arkhangelsk,64.5401,40.5433,39.31,44,20,8.95,RU,1650024138
397,praia,14.9215,-23.5087,72.41,70,3,14.67,CV,1650024227
398,westport,41.1415,-73.3579,55.9,57,52,5.01,US,1650024416
399,touho,-20.7833,165.2333,75.02,87,82,2.68,NC,1650024416
400,kloulklubed,7.0419,134.2556,79.3,76,100,8.12,PW,1650024416
401,port-gentil,-0.7193,8.7815,79.83,82,100,4.83,GA,1650024416
402,turayf,31.6725,38.6637,78.33,11,0,8.14,SA,1650024417
403,hamilton,39.1834,-84.5333,50.56,55,20,8.05,US,1650024418
404,ayyampettai,10.9014,79.1798,93.06,50,59,12.57,IN,1650024418
405,guadalupe y calvo,26.1,-106.9667,44.87,37,100,4.41,MX,1650024419
406,inta,66.0317,60.1659,29.75,78,100,12.19,RU,1650024419
407,fuxin,42.0156,121.6589,54.3,17,0,3.8,CN,1650024420
408,kiama,-34.6833,150.8667,66.0,80,93,5.91,AU,1650024420
409,nurota,40.5614,65.6886,83.59,18,37,10.65,UZ,1650024420
410,henties bay,-22.116,14.2845,63.19,77,14,14.63,NA,1650024421
411,clyde river,70.4692,-68.5914,-10.8,87,8,2.21,CA,1650024421
412,verkhoshizhemye,58.011,49.1038,31.89,98,100,11.36,RU,1650024312
413,preobrazheniye,42.9019,133.9064,39.76,69,14,5.01,RU,1650024421
414,vila velha,-20.3297,-40.2925,75.15,80,75,10.36,BR,1650024422
415,nouakchott,18.0858,-15.9785,82.33,48,0,10.04,MR,1650024392
416,deep river,46.1001,-77.4995,38.95,55,18,10.18,CA,1650024423
417,uaua,-9.8414,-39.4817,88.18,40,62,9.06,BR,1650024424
418,inhambane,-23.865,35.3833,85.37,70,92,13.67,MZ,1650024424
419,oviedo,43.3603,-5.8448,57.13,51,2,5.79,ES,1650024398
420,moerai,-22.4333,-151.3333,79.9,75,75,12.33,PF,1650024425
421,waddan,29.1614,16.139,93.78,10,32,18.75,LY,1650024426
422,saint-georges,12.0564,-61.7485,78.35,78,45,14.09,GD,1650024426
423,wakkanai,45.4094,141.6739,37.11,59,1,2.89,JP,1650024426
424,muros,42.7762,-9.0603,62.37,63,2,6.2,ES,1650024426
425,lamu,-2.2717,40.902,86.97,65,52,14.03,KE,1650024427
426,katobu,-4.9408,122.5276,76.78,93,21,3.76,ID,1650024427
427,camocim,-2.9022,-40.8411,81.21,80,64,6.78,BR,1650024427
428,renqiu,38.6989,116.0936,55.99,18,44,7.43,CN,1650024428
429,moyale,3.5167,39.0584,77.07,65,98,10.09,KE,1650024428
430,pandamatenga,-18.5278,25.627,87.4,33,59,5.53,BW,1650024428
431,tautira,-17.7333,-149.15,80.62,73,68,17.47,PF,1650024428
432,baker city,44.7749,-117.8344,24.64,91,75,0.0,US,1650024429
433,quartucciu,39.2519,9.1794,73.02,41,0,4.61,IT,1650024429
434,kibala,9.1104,18.3463,103.15,23,89,2.91,TD,1650024430
435,areosa,41.7178,-8.8571,64.22,62,4,5.82,PT,1650024430
436,zaranj,30.9667,61.8833,99.52,5,40,4.81,AF,1650024431
437,poyarkovo,49.6,128.6833,41.16,68,100,6.15,RU,1650024431
438,quatre cocos,-20.2078,57.7625,82.09,73,14,17.34,MU,1650024432
439,indiana,40.0003,-86.2503,47.91,61,0,9.22,US,1650024432
440,derzhavinsk,51.1,66.3167,74.07,24,88,13.2,KZ,1650024433
441,luba,3.4568,8.5547,82.76,75,100,4.12,GQ,1650024433
442,mackay,-21.15,149.2,67.68,71,0,11.83,AU,1650024433
443,santa isabel do rio negro,-0.4139,-65.0192,74.19,98,100,2.84,BR,1650024434
444,urusha,54.05,122.9,29.03,62,94,6.93,RU,1650024434
445,petrolina,-9.3986,-40.5008,77.05,94,75,3.44,BR,1650024284
446,socoltenango,16.2167,-92.25,64.06,72,63,4.0,MX,1650024435
447,kenora,49.8167,-94.4337,14.97,85,100,5.75,CA,1650024435
448,oksfjord,70.2396,22.3479,36.0,91,98,9.06,NO,1650024435
449,dan khun thot,15.2085,101.7714,94.68,29,46,8.3,TH,1650024181
450,hofn,64.2539,-15.2082,46.0,94,70,17.0,IS,1650024185
451,lagoa,39.05,-27.9833,58.8,81,67,22.97,PT,1650024436
452,qaqortoq,60.7167,-46.0333,25.34,72,86,7.38,GL,1650024436
453,seoul,37.5683,126.9778,56.64,38,37,8.55,KR,1650024148
454,vestmanna,62.1564,-7.1664,49.12,93,100,11.5,FO,1650024437
455,kutum,14.2,24.6667,92.68,4,12,8.28,SD,1650024437
456,palmer,42.1584,-72.3287,51.19,75,40,0.0,US,1650024341
457,hangu,39.2489,117.7892,60.84,19,8,7.23,CN,1650024438
458,acari,-15.4311,-74.6158,67.95,78,59,3.8,PE,1650024408
459,zhangjiakou,40.81,114.8794,50.58,13,0,6.33,CN,1650024438
460,mehamn,71.0357,27.8492,37.35,75,40,12.66,NO,1650024439
461,toora-khem,52.4675,96.11,38.79,68,11,0.6,RU,1650024439
462,pochutla,15.7432,-96.4661,77.83,75,32,2.57,MX,1650024440
463,muravlenko,63.7898,74.523,32.97,100,100,1.77,RU,1650024440
464,georgiyevka,43.0369,74.7114,77.04,31,0,6.71,KZ,1650024440
465,halifax,44.6453,-63.5724,40.89,96,100,11.01,CA,1650024441
466,vilhena,-12.7406,-60.1458,68.65,89,92,5.17,BR,1650024442
467,raga,8.4596,25.678,103.64,21,92,1.86,SS,1650024442
468,sao joao da barra,-21.6403,-41.0511,73.49,79,100,19.77,BR,1650024443
469,gigmoto,13.7796,124.39,78.49,81,49,3.78,PH,1650024443
470,bogorodskoye,56.55,37.8833,45.59,72,98,4.81,RU,1650024444
471,teknaf,20.8624,92.3058,83.32,80,23,7.9,BD,1650024407
472,salisbury,51.0693,-1.7957,68.56,56,65,8.16,GB,1650024444
473,williams lake,52.1415,-122.1445,22.08,68,27,1.79,CA,1650024445
474,carballo,43.213,-8.691,67.42,51,0,5.41,ES,1650024445
475,champerico,14.3,-91.9167,80.65,74,74,5.26,GT,1650024446
476,maine-soroa,13.2114,12.0241,104.29,18,78,10.96,NE,1650024446
477,dongying,37.4564,118.4856,54.93,15,88,1.7,CN,1650024338
478,pedernales,18.0384,-71.744,78.49,65,0,3.24,DO,1650024447
479,surman,32.7567,12.5716,69.28,61,100,16.2,LY,1650024447
480,poum,-20.2333,164.0167,75.34,82,88,4.23,NC,1650024447
481,melton,-37.6833,144.5833,64.44,72,99,0.65,AU,1650024448
482,khandyga,62.6667,135.6,7.95,95,12,3.15,RU,1650024448
483,svetlyy,54.675,20.1347,42.85,94,100,13.56,RU,1650024432
484,salta,-24.7859,-65.4117,55.58,90,83,1.01,AR,1650024210
485,fairbanks,64.8378,-147.7164,26.56,54,0,11.5,US,1650024283
486,garhi khairo,28.0606,67.9803,110.12,3,0,3.85,PK,1650024449
487,bandarbeyla,9.4942,50.8122,87.1,63,91,15.39,SO,1650024449
488,tiksi,71.6872,128.8694,1.36,100,100,6.6,RU,1650024450
489,ambon,-3.6954,128.1814,80.74,89,40,9.22,ID,1650024450
490,shalakusha,62.2247,40.2539,34.03,99,100,5.86,RU,1650024450
491,tura,25.5198,90.2201,81.32,68,17,3.18,IN,1650024451
492,alekseyevka,50.6309,38.6903,58.17,40,21,7.63,RU,1650024451
493,sorrento,40.626,14.3744,76.87,100,98,3.8,IT,1650024422
494,usinsk,65.9939,57.5281,28.83,76,100,13.73,RU,1650024451
495,indian head,38.6001,-77.1622,57.07,62,0,4.61,US,1650024322
496,oltu,40.5498,42.0013,48.0,57,33,3.31,TR,1650024452
497,okhotsk,59.3833,143.3,15.94,83,17,0.51,RU,1650024452
498,yarada,17.65,83.2667,88.12,70,40,6.91,IN,1650024453
499,padang,-0.9492,100.3543,80.8,83,76,3.0,ID,1650024454
500,dingle,10.9995,122.6711,78.42,86,98,1.77,PH,1650024454
501,kurmanayevka,52.5093,52.0675,41.34,95,100,17.31,RU,1650024455
502,brigham city,41.5102,-112.0155,41.02,78,100,4.0,US,1650024455
503,dali,25.7,100.1833,64.35,51,43,6.96,CN,1650024456
504,stromness,58.965,-3.296,49.96,89,100,14.0,GB,1650024366
505,japura,-0.3167,102.35,78.91,89,99,2.98,ID,1650024456
506,yuci,37.6803,112.7319,53.35,26,0,2.24,CN,1650024457
507,alta floresta,-9.8756,-56.0861,74.64,93,92,2.98,BR,1650024457
508,sucua,-2.4667,-78.1667,67.48,97,85,2.55,EC,1650024457
509,tongliao,43.6125,122.2653,51.57,24,0,8.25,CN,1650024217
510,kapit,2.0167,112.9333,79.72,81,83,2.1,MY,1650024458
511,wodonga,-36.1167,146.8833,62.11,97,100,0.0,AU,1650024458
512,waitati,-45.75,170.5667,54.81,82,19,4.56,NZ,1650024459
513,tripoli,32.8752,13.1875,67.73,67,86,13.69,LY,1650024459
514,obo,5.3998,26.4869,79.07,63,98,7.99,CF,1650024460
515,laguna,38.421,-121.4238,55.06,88,75,5.75,US,1650024460
516,beatrice,40.2681,-96.747,34.18,55,0,9.22,US,1650024461
517,mizque,-17.941,-65.3402,58.05,82,85,2.39,BO,1650024461
518,los llanos de aridane,28.6585,-17.9182,65.95,83,20,16.11,ES,1650024462
519,la palma,33.8464,-118.0467,56.01,83,75,3.44,US,1650024291
520,savalou,7.9281,1.9756,88.99,53,97,4.72,BJ,1650024463
521,jagdalpur,19.0667,82.0333,94.87,24,91,5.35,IN,1650024463
522,lucea,18.451,-78.1736,73.85,77,5,3.85,JM,1650024464
523,chipinge,-20.1883,32.6236,82.22,49,80,4.65,ZW,1650024306
524,kamenka,51.3223,42.7678,54.97,44,40,13.56,RU,1650024467
525,flin flon,54.7682,-101.865,11.61,78,100,11.03,CA,1650024467
526,marsa matruh,31.3525,27.2453,65.93,56,67,13.49,EG,1650024468
527,vigrestad,58.5667,5.7,53.82,78,98,5.59,NO,1650024468
528,santa cruz de tenerife,28.4682,-16.2546,76.87,60,0,4.61,ES,1650024311
529,aksu,41.1231,80.2644,73.83,13,47,8.68,CN,1650024468
530,kysyl-syr,63.8986,122.7617,27.03,91,98,9.06,RU,1650024469
531,juba,4.8517,31.5825,75.54,77,100,13.85,SS,1650024468
532,nyurba,63.2842,118.3319,23.79,91,100,11.88,RU,1650024223
533,saint-francois,46.4154,3.9054,71.67,51,40,3.44,FR,1650024469
534,beloha,-25.1667,45.05,94.26,35,73,3.53,MG,1650024470
535,samarai,-10.6167,150.6667,82.92,76,67,12.17,PG,1650024470
536,cherskiy,68.75,161.3,7.57,99,72,5.66,RU,1650024470
537,penzance,50.1186,-5.5371,52.92,100,75,9.22,GB,1650024467
538,lovington,32.944,-103.3485,54.18,92,0,1.01,US,1650024471
539,asau,46.4333,26.4,69.28,28,14,5.79,RO,1650024471
540,te anau,-45.4167,167.7167,54.82,81,84,9.46,NZ,1650024471
541,selma,36.5708,-119.6121,51.85,89,28,5.93,US,1650024471
542,port shepstone,-30.7414,30.455,70.23,84,77,32.39,ZA,1650024224
543,horsham,51.064,-0.3272,71.29,53,0,5.75,GB,1650024178
544,ban nahin,18.2418,104.2122,87.39,46,44,3.49,LA,1650024472
545,maridi,4.9158,29.4742,70.7,91,100,1.43,SS,1650024472
546,tonantins,-2.8731,-67.8022,73.2,100,100,2.33,BR,1650024472
547,mikhaylovka,50.06,43.2379,57.78,47,60,12.75,RU,1650024390
548,alberton,46.8168,-64.0654,38.77,96,100,11.5,CA,1650024473
549,peniche,39.3558,-9.3811,74.08,77,7,10.83,PT,1650024199
550,trinidad,-14.8333,-64.9,71.58,73,40,6.91,BO,1650024474
551,touros,-5.1989,-35.4608,84.67,69,84,7.54,BR,1650024474
552,kantang,7.4054,99.5156,80.24,87,98,5.08,TH,1650024475
